hierarchieebene;description;isreplacecandidate;isreplaced;isprobability;probabilityvalue
1;"""I""";False;False;False;-1
2;"""type""";False;False;True;10
3;"""I""";True;False;False;-1
3;"""I""";True;False;False;-1
2;"""type""";False;False;True;10
3;"""V""";True;False;False;-1
3;"""I""";True;False;False;-1
2;"""final""";False;False;True;10
1;"""V""";False;False;False;-1
2;"""type""";False;False;True;10
3;"""ii""";True;False;False;-1
3;"""V""";True;False;False;-1
2;"""type""";False;False;True;10
3;"""V/V""";False;False;False;-1
3;"""V""";True;False;False;-1
2;"""final""";False;False;True;10
1;"""ii""";False;False;False;-1
2;"""type""";False;False;True;10
3;"""vi""";True;False;False;-1
3;"""ii""";True;False;False;-1
2;"""final""";False;False;True;10
1;"""vi""";False;False;False;-1
2;"""type""";False;False;True;10
3;"""V/vi""";False;False;False;-1
3;"""vi""";True;False;False;-1
2;"""final""";False;False;True;10
1;"""key""";False;False;False;-1
2;"""Ab""";False;False;True;10
2;"""Eb""";False;False;True;10
2;"""Bb""";False;False;True;10
2;"""F""";False;False;True;10
2;"""C""";False;False;True;10
2;"""G""";False;False;True;10
2;"""D""";False;False;True;10
2;"""A""";False;False;True;10
1;"""SONG""";False;False;False;-1
2;"""key""";True;False;False;-1
2;"""type""";False;False;False;-1
3;"""I""";True;False;False;-1
3;"""I""";True;False;False;-1
